20 20 3 200
0 1 2
0 3 7
0 4 8
0 6 22
0 9 55
0 12 79
0 16 137
0 19 173
1 1 5
1 2 1
1 3 9
1 4 20
1 5 23
1 6 35
1 7 38
1 10 77
1 16 170
1 17 179
1 18 175
1 19 174
2 1 11
2 2 10
2 3 19
2 4 24
2 5 34
2 6 39
2 9 76
2 10 81
2 11 103
2 12 108
2 13 134
2 15 169
3 2 18
3 3 25
3 5 40
3 6 52
3 7 59
3 14 168
3 16 187
3 18 182
3 19 177
4 2 26
4 3 32
4 6 60
4 7 74
4 8 83
4 12 141
4 13 167
5 4 50
5 5 61
5 7 84
5 9 111
5 10 131
5 17 230
5 19 184
6 0 28
6 1 30
6 8 112
6 9 130
6 10 143
6 11 165
6 12 191
6 14 233
6 18 229
6 19 227
7 0 29
7 1 44
7 2 48
7 5 86
7 7 113
7 8 129
7 10 164
7 11 192
7 13 234
7 15 269
7 18 263
7 19 228
8 1 47
8 2 64
8 6 114
8 7 128
8 10 193
8 12 235
8 13 258
8 15 293
8 16 294
8 17 295
8 18 266
9 1 65
9 3 88
9 4 96
9 5 115
9 7 146
9 8 162
9 11 236
9 12 257
9 13 271
9 14 292
9 18 296
10 0 66
10 1 68
10 4 116
10 9 217
10 11 256
10 12 272
10 13 291
10 14 303
10 15 322
10 16 323
10 17 324
10 18 299
10 19 297
11 2 94
11 4 125
11 5 148
11 7 196
11 10 255
11 11 273
11 14 321
11 16 330
11 19 298
12 0 91
12 1 93
12 3 124
12 5 159
12 7 215
12 8 239
12 10 274
12 13 320
12 14 332
12 18 328
13 2 123
13 4 158
13 5 198
13 9 275
13 10 288
13 14 346
13 15 356
13 17 354
13 18 350
14 0 120
14 3 157
14 6 241
14 8 276
14 9 287
14 10 307
14 12 334
14 13 345
14 14 357
14 15 368
14 16 369
14 19 351
15 2 156
15 3 200
15 5 242
15 6 251
15 8 286
15 10 317
15 12 344
15 15 377
15 17 375
15 18 371
15 19 352
16 0 153
16 3 211
16 7 285
16 8 309
16 10 336
16 11 343
16 14 378
16 15 385
16 17 393
16 18 374
16 19 372
17 0 154
17 6 284
17 10 342
17 11 360
17 12 365
17 13 379
17 18 395
18 0 203
18 1 206
18 3 245
18 4 248
18 5 280
18 9 338
18 12 364
18 13 380
18 16 391
18 17 396
19 4 246
19 6 281
19 7 282
19 8 312
19 9 313
19 13 363
19 14 381
19 17 390
19 19 400
Total time generating the Txt is 0.01 seconds
